1,Trichoplax adhaerens,NFS1,Trichoplax adhaerens NFS1
2,Naegleria gruberi,MCM4,Naegleria gruberi MCM4
3,Chlamydomonas reinhardtii,CIAO3,Chlamydomonas reinhardtii CIAO3
4,Hydra vulgaris,PRP46,Hydra vulgaris PRP46
5,Homo sapiens,BET3,Homo sapiens BET3
6,Guillardia theta CCMP2712,Naa20A,Guillardia theta CCMP2712 Naa20A
7,Monosiga brevicollis MX1,Naa20A,Monosiga brevicollis MX1 Naa20A
8,Guillardia theta CCMP2712,ELP3,Guillardia theta CCMP2712 ELP3
9,Drosophila melanogaster,ntl,Drosophila melanogaster ntl
10,Ectocarpus siliculosus,Dph1,Ectocarpus siliculosus Dph1
11,Homo sapiens,TUB2,Homo sapiens TUB2
12,Naegleria gruberi,FARSB,Naegleria gruberi FARSB
13,Homo sapiens,SEC22,Homo sapiens SEC22
14,Guillardia theta CCMP2712,NUBP2,Guillardia theta CCMP2712 NUBP2
15,Guillardia theta CCMP2712,TBP,Guillardia theta CCMP2712 TBP
16,Guillardia theta CCMP2712,BAZ2A,Guillardia theta CCMP2712 BAZ2A
17,Trichoplax adhaerens,PolD1,Trichoplax adhaerens PolD1
18,Naegleria gruberi,CLP1,Naegleria gruberi CLP1
19,Drosophila melanogaster,Psmb2,Drosophila melanogaster Psmb2
20,Ectocarpus siliculosus,EMG1,Ectocarpus siliculosus EMG1
21,Hydra vulgaris,BUD23,Hydra vulgaris BUD23
22,Ectocarpus siliculosus,Rrm1,Ectocarpus siliculosus Rrm1
23,Naegleria gruberi,HBS1,Naegleria gruberi HBS1
24,Saccharomyces cerevisiae,GCD6,Saccharomyces cerevisiae GCD6
25,Naegleria gruberi,Nlrp1b,Naegleria gruberi Nlrp1b
26,Naegleria gruberi,Arp1,Naegleria gruberi Arp1
27,Drosophila melanogaster,EIF4E,Drosophila melanogaster EIF4E
28,Guillardia theta CCMP2712,GTF3C3,Guillardia theta CCMP2712 GTF3C3
