Taxonomy ID,Shortened species name,Species name,Genome accession,contig_count
10228,T. adhaerens,Trichoplax adhaerens,GCA_000150275.1,3220
13642,H. album,Heterostelium pallidum,GCF_000004825.1,64
237631,U. maydis,Ustilago maydis,GCA_000328475.2,254
280463,E. huxleyi,Emiliania huxleyi,GCF_000372725.1,16900
284813,E. cuniculi,Encephalitozoon cuniculi,GCA_027571585.1,11
2880,E. siliculosus,Ectocarpus siliculosus,GCA_000310025.1,13500
296587,M. commoda,Micromonas commoda,GCF_000090985.2,17
3055,C. reinhardtii,Chlamydomonas reinhardtii,GCA_000002595.3,1510
312017,T. thermophila,Tetrahymena thermophila,GCA_000189635.1,1780
3218,P. patens,Physcomitrium patens,GCA_000002425.4,2150
330879,A. fumigatus,Aspergillus fumigatus,GCA_020500685.1,697
333668,T. parva,Theileria parva,GCA_000165365.1,8
352472,D. discoideum,Dictyostelium discoideum,GCF_000004695.1,259
3702,A. thaliana,Arabidopsis thaliana,GCA_902705455.1,166
37360,P. brassicae,Plasmodiophora brassicae,GCA_001049375.1,1800
3988,R. communis,Ricinus communis,GCF_019578655.1,470
403677,P. infestans,Phytophthora infestans,GCA_000142945.1,18300
431895,M. brevicollis,Monosiga brevicollis,GCA_000002865.1,2140
484906,B. bovis,Babesia bovis,GCA_000165395.2,6
4896,S. pombe,Schizosaccharomyces pombe,GCA_000002945.3,7
4932,S. cerevisiae,Saccharomyces cerevisiae,GCA_949124715.1,16
508771,T. gondii,Toxoplasma gondii,GCA_013099955.1,202
5762,N. gruberi,Naegleria gruberi,GCA_000004985.1,1980
578462,A. macrogynus,Allomyces macrogynus,GCA_000151295.1,8970
5888,P. tetraurelia,Paramecium tetraurelia,GCA_000165425.1,1560
595528,C. owczarzaki,Capsaspora owczarzaki,GCA_000151315.2,625
6087,H. vulgaris,Hydra vulgaris,GCA_022113875.1,2260
645134,S. punctatus,Spizellomyces punctatus,GCF_000182565.1,329
7227,D. melanogaster,Drosophila melanogaster,GCA_000001215.4,2440
905079,G. theta,Guillardia theta,GCF_000315625.1,5130
9606,H. sapiens,Homo sapiens,GCF_000001405.29,999
