OrthoDB 12v0,OrthoDB 12v2,Human gene,Human paralogs,Total orthologs,Protein class
10036721at2759,2728787at2759,MCM5,1,48,DNA metabolism
10036721at2759,5017126at2759,MCM5,1,48,DNA metabolism
10036721at2759,4754267at2759,MCM5,1,48,DNA metabolism
10036721at2759,2207752at2759,MCM5,1,48,DNA metabolism
10036721at2759,1770331at2759,MCM5,1,48,DNA metabolism
10036721at2759,4841871at2759,MCM5,1,48,DNA metabolism
10060499at2759,1977584at2759,Ruvbl1,3,72,Unclassified
10060499at2759,5000319at2759,Ruvbl1,3,72,Unclassified
10060499at2759,4849212at2759,Ruvbl1,3,72,Unclassified
10248520at2759,520107at2759,CCT5,4,163,chaperone
10248520at2759,4971695at2759,CCT5,4,163,chaperone
10248520at2759,717908at2759,CCT5,4,163,chaperone
10248520at2759,4936716at2759,CCT5,4,163,chaperone
10248520at2759,2746638at2759,CCT5,4,163,chaperone
10248520at2759,4982439at2759,CCT5,4,163,chaperone
10248520at2759,2737033at2759,CCT5,4,163,chaperone
10248617at2759,4971508at2759,Polr1B,5,111,RNA metabolism
10248617at2759,705010at2759,Polr1B,5,111,RNA metabolism
10248617at2759,525125at2759,Polr1B,5,111,RNA metabolism
10248617at2759,531263at2759,Polr1B,5,111,RNA metabolism
10248617at2759,457975at2759,Polr1B,5,111,RNA metabolism
10248812at2759,5013726at2759,IMP3,1,33,translational protein
10249535at2759,4963268at2759,INTS11,2,61,RNA metabolism
10249535at2759,1980977at2759,INTS11,2,61,RNA metabolism
10249535at2759,5023386at2759,INTS11,2,61,RNA metabolism
10249535at2759,5003322at2759,INTS11,2,61,RNA metabolism
10249535at2759,4728027at2759,INTS11,2,61,RNA metabolism
10249535at2759,2802280at2759,INTS11,2,61,RNA metabolism
10250002at2759,4969018at2759,Dkc1,1,37,chromatin/regulatory
10250117at2759,5013488at2759,NFS1,3,53,metabolite interconversion enzyme
10250117at2759,3200217at2759,NFS1,3,53,metabolite interconversion enzyme
10250117at2759,4594203at2759,NFS1,3,53,metabolite interconversion enzyme
10250117at2759,4909408at2759,NFS1,3,53,metabolite interconversion enzyme
10250117at2759,2460182at2759,NFS1,3,53,metabolite interconversion enzyme
10250354at2759,4842476at2759,TAH1,4,533,chaperone
10250354at2759,793600at2759,TAH1,4,533,chaperone
10250354at2759,795464at2759,TAH1,4,533,chaperone
10250354at2759,5004250at2759,TAH1,4,533,chaperone
10250354at2759,4926962at2759,TAH1,4,533,chaperone
10250354at2759,683791at2759,TAH1,4,533,chaperone
10250354at2759,4932650at2759,TAH1,4,533,chaperone
10250354at2759,4893097at2759,TAH1,4,533,chaperone
10250354at2759,805771at2759,TAH1,4,533,chaperone
10250354at2759,4942545at2759,TAH1,4,533,chaperone
10250354at2759,2703920at2759,TAH1,4,533,chaperone
10250354at2759,4694578at2759,TAH1,4,533,chaperone
10250354at2759,226499at2759,TAH1,4,533,chaperone
10250354at2759,763425at2759,TAH1,4,533,chaperone
10250354at2759,624636at2759,TAH1,4,533,chaperone
10250354at2759,1801458at2759,TAH1,4,533,chaperone
10250354at2759,4594759at2759,TAH1,4,533,chaperone
10250354at2759,4894246at2759,TAH1,4,533,chaperone
10250354at2759,347058at2759,TAH1,4,533,chaperone
10250354at2759,4864431at2759,TAH1,4,533,chaperone
10250354at2759,256377at2759,TAH1,4,533,chaperone
10250354at2759,5006474at2759,TAH1,4,533,chaperone
10250354at2759,32295at2759,TAH1,4,533,chaperone
10250354at2759,700278at2759,TAH1,4,533,chaperone
10250354at2759,788980at2759,TAH1,4,533,chaperone
10250354at2759,786890at2759,TAH1,4,533,chaperone
10250354at2759,4569560at2759,TAH1,4,533,chaperone
10250354at2759,4894856at2759,TAH1,4,533,chaperone
10250354at2759,509198at2759,TAH1,4,533,chaperone
10250354at2759,539981at2759,TAH1,4,533,chaperone
10250354at2759,771678at2759,TAH1,4,533,chaperone
10250354at2759,5015697at2759,TAH1,4,533,chaperone
10250354at2759,675857at2759,TAH1,4,533,chaperone
10250354at2759,583971at2759,TAH1,4,533,chaperone
10250354at2759,4979985at2759,TAH1,4,533,chaperone
10250354at2759,646654at2759,TAH1,4,533,chaperone
10250354at2759,4999927at2759,TAH1,4,533,chaperone
10250354at2759,4953410at2759,TAH1,4,533,chaperone
10250354at2759,291406at2759,TAH1,4,533,chaperone
10250354at2759,540671at2759,TAH1,4,533,chaperone
10250354at2759,335184at2759,TAH1,4,533,chaperone
10250354at2759,286317at2759,TAH1,4,533,chaperone
10250354at2759,237090at2759,TAH1,4,533,chaperone
10250354at2759,4844886at2759,TAH1,4,533,chaperone
10250354at2759,4840389at2759,TAH1,4,533,chaperone
10250354at2759,807978at2759,TAH1,4,533,chaperone
10250354at2759,4885243at2759,TAH1,4,533,chaperone
10250354at2759,4844114at2759,TAH1,4,533,chaperone
10250354at2759,4931092at2759,TAH1,4,533,chaperone
10250354at2759,4811650at2759,TAH1,4,533,chaperone
10250354at2759,788305at2759,TAH1,4,533,chaperone
10250354at2759,336009at2759,TAH1,4,533,chaperone
10250354at2759,4935065at2759,TAH1,4,533,chaperone
10250354at2759,636472at2759,TAH1,4,533,chaperone
10250354at2759,772472at2759,TAH1,4,533,chaperone
10250354at2759,772773at2759,TAH1,4,533,chaperone
10250354at2759,4402272at2759,TAH1,4,533,chaperone
10250354at2759,4810972at2759,TAH1,4,533,chaperone
10250354at2759,4846187at2759,TAH1,4,533,chaperone
10250354at2759,662017at2759,TAH1,4,533,chaperone
10250354at2759,4927715at2759,TAH1,4,533,chaperone
10250354at2759,667642at2759,TAH1,4,533,chaperone
10250354at2759,788917at2759,TAH1,4,533,chaperone
10250354at2759,5015274at2759,TAH1,4,533,chaperone
10250354at2759,805096at2759,TAH1,4,533,chaperone
10250354at2759,4823499at2759,TAH1,4,533,chaperone
10250354at2759,805799at2759,TAH1,4,533,chaperone
10250354at2759,289467at2759,TAH1,4,533,chaperone
10250354at2759,4803944at2759,TAH1,4,533,chaperone
10250354at2759,5015462at2759,TAH1,4,533,chaperone
10250354at2759,4949592at2759,TAH1,4,533,chaperone
10250354at2759,4748726at2759,TAH1,4,533,chaperone
10250354at2759,5003867at2759,TAH1,4,533,chaperone
10250354at2759,532733at2759,TAH1,4,533,chaperone
10250354at2759,759793at2759,TAH1,4,533,chaperone
10250354at2759,2168663at2759,TAH1,4,533,chaperone
10250354at2759,4806845at2759,TAH1,4,533,chaperone
10250354at2759,795584at2759,TAH1,4,533,chaperone
10250354at2759,4804644at2759,TAH1,4,533,chaperone
10250354at2759,2540386at2759,TAH1,4,533,chaperone
10250354at2759,793388at2759,TAH1,4,533,chaperone
10250354at2759,663577at2759,TAH1,4,533,chaperone
10250354at2759,2737737at2759,TAH1,4,533,chaperone
10250354at2759,3300325at2759,TAH1,4,533,chaperone
10250354at2759,4914099at2759,TAH1,4,533,chaperone
10250354at2759,767244at2759,TAH1,4,533,chaperone
10250354at2759,336018at2759,TAH1,4,533,chaperone
10250354at2759,4887254at2759,TAH1,4,533,chaperone
10250354at2759,76462at2759,TAH1,4,533,chaperone
10250354at2759,2689326at2759,TAH1,4,533,chaperone
10250354at2759,677959at2759,TAH1,4,533,chaperone
10250354at2759,809391at2759,TAH1,4,533,chaperone
10250354at2759,5019768at2759,TAH1,4,533,chaperone
10250354at2759,2669838at2759,TAH1,4,533,chaperone
10250354at2759,345421at2759,TAH1,4,533,chaperone
10250354at2759,4931666at2759,TAH1,4,533,chaperone
10250354at2759,808839at2759,TAH1,4,533,chaperone
10250354at2759,516406at2759,TAH1,4,533,chaperone
10250354at2759,4818864at2759,TAH1,4,533,chaperone
10250354at2759,4898590at2759,TAH1,4,533,chaperone
10250354at2759,4935280at2759,TAH1,4,533,chaperone
10250354at2759,741772at2759,TAH1,4,533,chaperone
10250354at2759,805200at2759,TAH1,4,533,chaperone
10250354at2759,4893143at2759,TAH1,4,533,chaperone
10250354at2759,747473at2759,TAH1,4,533,chaperone
10250354at2759,4972322at2759,TAH1,4,533,chaperone
10250354at2759,5019670at2759,TAH1,4,533,chaperone
10250354at2759,343574at2759,TAH1,4,533,chaperone
10250354at2759,4840419at2759,TAH1,4,533,chaperone
10250354at2759,2740906at2759,TAH1,4,533,chaperone
10250354at2759,4892880at2759,TAH1,4,533,chaperone
10250354at2759,5003957at2759,TAH1,4,533,chaperone
10250354at2759,4894568at2759,TAH1,4,533,chaperone
10250354at2759,4813783at2759,TAH1,4,533,chaperone
10250354at2759,5020844at2759,TAH1,4,533,chaperone
10250354at2759,344766at2759,TAH1,4,533,chaperone
10250478at2759,4983918at2759,GUS1,3,66,translational protein
10250478at2759,544921at2759,GUS1,3,66,translational protein
10250478at2759,4837942at2759,GUS1,3,66,translational protein
10250478at2759,551000at2759,GUS1,3,66,translational protein
10250817at2759,4840860at2759,SRP54,1,43,RNA metabolism
10250817at2759,554070at2759,SRP54,1,43,RNA metabolism
10250817at2759,3199860at2759,SRP54,1,43,RNA metabolism
10250970at2759,5000824at2759,SF3A2,1,34,RNA metabolism
10251154at2759,5015876at2759,WDR46,2,33,Unclassified
10251574at2759,4987397at2759,MCM4,2,35,DNA metabolism
10251574at2759,678617at2759,MCM4,2,35,DNA metabolism
10252509at2759,160487at2759,Rpn1,1,37,protein modifying enzyme
10253113at2759,534485at2759,CIAO3,3,39,metabolite interconversion enzyme
10253113at2759,4999379at2759,CIAO3,3,39,metabolite interconversion enzyme
10253204at2759,5001422at2759,IMP4,2,52,RNA metabolism
10253204at2759,5013936at2759,IMP4,2,52,RNA metabolism
10253254at2759,194710at2759,ECM16,10,265,RNA metabolism
10253254at2759,4587549at2759,ECM16,10,265,RNA metabolism
10253254at2759,4927729at2759,ECM16,10,265,RNA metabolism
10253254at2759,525184at2759,ECM16,10,265,RNA metabolism
